text,label
israel bombardir gaza mesin uang orang terkayanya populer di ri,Netral
isu ketahanan pangan bumn ini bikin ekosistem komoditas,Netral
saham bca nad🥰,Positif
29 tahun masuk daftar orang terkaya rahasia bill gates terungkap,Netral
selain bi rate ini 5 jurus bi jaga ekonomi indonesia perkuat rupiah,Positif
jadi sudah tinggal terima beres saja karena semua pekerjaan untuk menganalisa sahamsaham apa saja yang jauh lebih menarik dari asii sudah dilakukan oleh group wavetiga,Netral
ihsg diprediksi menguat analis jagokan saham bbni hingga asii,Positif
duet bumn tiko dony oskaria dipanggil prabowo,Netral
ini dia aturan terbaru terkait debt collector,Netral
anak muda akrab gadget tapi minim literasi keuangan ini bahayanya,Negatif
kisah raja kain di era soeharto kini longsor tertimbun utang,Netral
pt unilever indonesia tbk unvr akan menyelenggarakan luar biasa pada 19 desember 2023 pukul 1030 wib pemegang yang namanya tercatat dalam daftar pemegang saham unvr pada 24 november 2023 pukul 1600 wib berhak hadir atau diwakili dalam acara tersebut,Netral
bbca soalnya stabil,Positif
seminggu naik 10755 bursa pantau ketat saham pyridam farma pyfa,Negatif
saham bayan byan lagilagi ngacir market cap kokoh kejar bbca,Positif
kronologi kasus mega korupsi jiwasraya hingga akhirnya ditutup ojk,Negatif
rukun raharja raja kasih kredit rp11184 m ke pengelola blok cepu,Positif
bukti nyata implementasi asta cita bri salurkan kur rp 17566 t,Positif
cara agar hidup aman tanpa teror pinjol lakukan langkah ini segera,Netral
warga ri serbu bitcoin transaksi kripto di indonesia tembus rp475 t,Positif
duh nyaris setengah warga as tak punya dana darurat rp 16 juta,Negatif
asal muasal dolar as menggila rupiah cs terkapar,Negatif
sebelum ada isu boikot memang sudah ambles unvr 🤣 harus banyak bersabar dengan consumer goods satu ini memang 🤭,Negatif
siapsiap ada tiga ipo jumbo akhir tahun ini,Positif
wkwkwk pantesan dikala saham2 bluchip naik asii turun sendiri 😂,Negatif
dirut pt pal dapat jabatan ini di pemerintahan prabowo,Netral
dorong infrastruktur bri fasilitasi pembiayaan jalan trans papua,Positif
jangka menengah bbni sih,Positif
the fed bakal pangkas suku bunga 25 bps intip cuan di sektor ini,Netral
jawabannya ya saham dengan bobot besar lainnya seperti bbri bmri tlkm asii amrt semuanya naik lumayan tuh namun dari tekanan ihsg beberapa hari terakhir akibat rupiah melemah drastis hingga kenaikan suku bunga saya jadi penasaran kirakira apa ya saham yang murah,Netral
bi rate dipangkas bos acc ungkap dampaknya ke cicilan mobil,Netral
agung podomoro apln balik arah dari laba rp1 t jadi rugi rp41 m,Negatif
1996 saham tlkm 1000 lembar 2 lot,Netral
telkomsel rombak pengurus ini susunan direksi terbaru,Netral
ihsg dibuka mode galau investor sedang wait and see,Netral
begini cara wika realisasikan penguatan tata kelola,Netral
bni dan ui kolaborasi ekosistem keuangan digital pendidikan,Positif
solusi lifestyle mudah bank mandirijcb gelar festival menarik ini,Positif
ngeri ini dampak jatuhnya evergrande ke ekonomi global,Negatif
imf ramal ekonomi ri di era prabowo sulit tumbuh 8 mandek di 51,Netral
ihsg ambruk lagi turun lebih dari 1,Negatif
bank di indonesia ramairamai tutup atm ini penyebabnya,Negatif
penurunan bi rate belum cukup untuk bantu likuiditas perbankan,Netral
kurs ratarata januarimaret rp15600us icp us80barel,Netral
siapsiap intip 10 koin kripto berpotensi cuan di 2024,Netral
cuma kerja 5 tahun anggota dpr dapat uang pensiun segini,Netral
ternyata ini alasan prabowo tahan 100 dhe sda selama 1 tahun,Netral
divisi alat berat otomotif lesu laba astra asii cuma tumbuh 1,Negatif
ini ketakutan terbesar jokowi jelang lepas jabatan presiden,Negatif
bos ojk targetkan inklusi ri 98 di tahun 2045,Positif
wskt selesaikan proyek jalan kwatisoremuri lebih cepat,Positif
coba klo masuknya di hmsp yakin no cl 😂,Negatif
avia avian avia gondol paten global 2 produk cat ini,Netral
ini dia daftar 16 bumn yang dapat suntikan duit rp 44 triliun,Netral
perhatian para investor ihsg berpotensi menguat saham bbri bbni tlkm dan icbp disebutsebut layak untuk diburu peluang bagus nih jadi siapsiap mengambil langkah cerdas temukan analisis lengkapnya di sini,Positif
saham bbri cetak rekor lagi tembus rp 6225,Positif
ihsg balik lagi ke level 7300 ini saham yang jadi penopangnya,Positif
sosok marimutu sinivasan obligor blbi yang ditangkap saat mau kabur,Netral
harga saham terbang bursa gembok emiten grup salim dnet,Negatif
mau ipo topindo solusi komunika patok harga ipo rp 115125saham,Positif
terungkap begini nasib emas 57 ton milik soekarno di bank swiss,Netral
ada salim dibalik proyek pembangkit listrik us 735 juta singapura,Netral
ini alasan philip morris hmsp investasi rp 100 triliun di ri,Netral
kredit moncer ojk bantah isi kantong warga kelas menengah ri seret,Netral
